"title","Rank","score"
"180","忠犬八公物语","180","9.1"
"181","一个叫欧维的男人决定去死","181","8.8"
"182","二十二","182","8.7"
"183","虎口脱险","183","8.9"
"184","雨中曲","184","9.0"
"185","黑客帝国3：矩阵革命","185","8.7"
"186","海洋","186","9.1"
"187","人工智能","187","8.6"
"188","海街日记","188","8.7"
"189","房间","189","8.8"
"190","魔女宅急便","190","8.6"
"191","燃情岁月","191","8.8"
"192","恐怖游轮","192","8.4"
"193","惊魂记","193","8.9"
"194","穿越时空的少女","194","8.6"
"195","罗生门","195","8.8"
"196","魂断蓝桥","196","8.8"
"197","釜山行","197","8.4"
"198","完美陌生人","198","8.5"
"199","猜火车","199","8.5"
"200","奇迹男孩","200","8.6"
"201","疯狂的石头","201","8.4"
"202","终结者2：审判日","202","8.7"
"203","阿飞正传","203","8.5"
"204","香水","204","8.5"
"205","可可西里","205","8.7"
"206","牯岭街少年杀人事件","206","8.8"
"207","初恋这件小事","207","8.4"
"208","人生果实","208","9.6"
"209","新世界","209","8.8"
"210","谍影重重2","210","8.6"
"211","谍影重重","211","8.6"
"212","战争之王","212","8.6"
"213","2001太空漫游","213","8.8"
"214","爱在午夜降临前","214","8.8"
"215","地球上的星星","215","8.9"
"216","浪潮","216","8.7"
"217","青蛇","217","8.5"
"218","朗读者","218","8.5"
"219","新龙门客栈","219","8.6"
"220","无耻混蛋","220","8.5"
"221","源代码","221","8.4"
"222","步履不停","222","8.8"
"223","绿里奇迹","223","8.8"
"224","哈利·波特与阿兹卡班的囚徒","224","8.5"
"225","小萝莉的猴神大叔","225","8.4"
"226","再次出发之纽约遇见你","226","8.5"
"227","血钻","227","8.6"
"228","追随","228","8.9"
"229","彗星来的那一夜","229","8.5"
"230","城市之光","230","9.3"
"231","一次别离","231","8.7"
"232","疯狂的麦克斯4：狂暴之路","232","8.6"
"233","哈利·波特与密室","233","8.5"
"234","东京物语","234","9.2"
"235","聚焦","235","8.8"
"236","撞车","236","8.6"
"237","遗愿清单","237","8.6"
"238","发条橙","238","8.5"
"239","梦之安魂曲","239","8.7"
"240","小偷家族","240","8.7"
"241","色，戒","241","8.4"
"242","黑鹰坠落","242","8.6"
"243","驴得水","243","8.3"
"244","E.T. 外星人","244","8.6"
"245","我爱你","245","9.0"
"246","大佛普拉斯","246","8.7"
"247","末路狂花","247","8.7"
"248","千钧一发","248","8.7"
"249","变脸","249","8.5"
"250","这个男人来自地球","250","8.5"
