"mnb_date","ccy_name","ccy_full_name","unit","mnb_rate"
"110",2019-11-29,"ISK","Icelandic Krona",1,2.48
"111",2019-11-29,"ITL","Italian Lira",1000,NA
"112",2019-11-29,"JPY","Japanese Yen",100,277.57
"113",2019-11-29,"KPW","North Korean Won",100,NA
"114",2019-11-29,"KRW","South Korean Won",100,25.79
"115",2019-11-29,"KWD","Kuwaiti Dinar",1,NA
"116",2019-11-29,"LBP","Lebanese Pound",100,NA
"117",2019-11-29,"LTL","Lithuanian litas",1,NA
"118",2019-11-29,"LUF","Luxembourg Franc",100,NA
"119",2019-11-29,"LVL","Latvian lats",1,NA
"120",2019-11-29,"MNT","Mongolian Tugrik",100,NA
"121",2019-11-29,"MXN","Mexican Peso",1,15.64
"122",2019-11-29,"MYR","Malaysian Ringgit",1,72.82
"123",2019-11-29,"NLG","Netherlands Guilder",1,NA
"124",2019-11-29,"NOK","Norwegian Krone",1,33.09
"125",2019-11-29,"NZD","New Zealand Dollar",1,195.71
"126",2019-11-29,"OAL","Alban Lek",100,NA
"127",2019-11-29,"OBL","Bulgarian Lev",100,NA
"128",2019-11-29,"OFR","French Franc",100,NA
"129",2019-11-29,"ORB","Ruble",100,NA
"130",2019-11-29,"PHP","Philippine Peso",1,5.98
"131",2019-11-29,"PKR","Pakistan Rupee",100,NA
"132",2019-11-29,"PLN","Polish Zloty",1,77.39
"133",2019-11-29,"PTE","Portuguese Escudo",100,NA
"134",2019-11-29,"ROL","Romanian Leu",100,NA
"135",2019-11-29,"RON","Romanian New Leu",1,69.96
"136",2019-11-29,"RSD","Serbian Dinar",1,2.85
"137",2019-11-29,"RUB","Russian Rubel",1,4.74
"138",2019-11-29,"SDP","Sudanese pound",1,NA
"139",2019-11-29,"SEK","Swedish Krona",1,31.86
"140",2019-11-29,"SGD","Singapore Dollar",1,222.56
"141",2019-11-29,"SIT","Slovenian Tolar",1,NA
"142",2019-11-29,"SKK","Slovak Koruna",1,NA
"143",2019-11-29,"SUR","New Ruble",100,NA
"144",2019-11-29,"THB","Thai Baht",1,10.07
"145",2019-11-29,"TRY","Turkish Lira",1,52.94
"146",2019-11-29,"UAH","Ukrainian Hryvnia",1,12.7
"147",2019-11-29,"USD","US Dollar",1,304.13
"148",2019-11-29,"VND","Vietnamese Dong",100,NA
"149",2019-11-29,"XEU","ECU",1,NA
"150",2019-11-29,"XTR","Tr/Cl Ruble",1,NA
"151",2019-11-29,"YUD","Yugoslavian Dinar",1,NA
"152",2019-11-29,"ZAR","South African Rand",1,20.79
"153",2019-11-28,"ATS","Austrian Schilling",1,NA
"154",2019-11-28,"AUD","Australian Dollar",1,206.75
"155",2019-11-28,"AUP","Australian Pound",1,NA
"156",2019-11-28,"BEF","Belgian Franc",100,NA
"157",2019-11-28,"BGL","Bulgarian Lev",100,NA
"158",2019-11-28,"BGN","Bulgarian Lev",1,172.16
"159",2019-11-28,"BRL","Brazilian real",1,71.69
"160",2019-11-28,"CAD","Canadian Dollar",1,229.98
"161",2019-11-28,"CHF","Swiss Franc",1,306.11
"162",2019-11-28,"CNY","Chinese yuan renminbi",1,43.47
"163",2019-11-28,"CSD","Serbian Dinar",1,NA
"164",2019-11-28,"CSK","Czechoslovakian Koruna",100,NA
"165",2019-11-28,"CYN","Chinese yuan",100,NA
"166",2019-11-28,"CZK","Czech Koruna",1,13.17
"167",2019-11-28,"DDM","DDR Mark",100,NA
"168",2019-11-28,"DEM","Deutsche Mark",1,NA
"169",2019-11-28,"DKK","Danish Krone",1,45.06
"170",2019-11-28,"EEK","Estonian kroon",1,NA
"171",2019-11-28,"EGP","Egyptian Pound",1,NA
"172",2019-11-28,"ESP","Spanish Peseta",100,NA
"173",2019-11-28,"EUR","Euro",1,336.71
"174",2019-11-28,"FIM","Finnish Markka",1,NA
"175",2019-11-28,"FRF","French Franc",1,NA
"176",2019-11-28,"GBP","Pound Sterling",1,395.5
"177",2019-11-28,"GHP","Ghana Pound",1,NA
"178",2019-11-28,"GRD","Greek Drachma",100,NA
"179",2019-11-28,"HKD","Hong Kong Dollar",1,39.05
"180",2019-11-28,"HRK","Croatian Kuna",1,45.26
"181",2019-11-28,"HUF","Hungarian forint",1,NA
"182",2019-11-28,"IDR","Indonesian Rupiah",100,2.17
"183",2019-11-28,"IEP","Irish Pound",1,NA
"184",2019-11-28,"ILS","Israeli Shekel",1,88.19
"185",2019-11-28,"INR","Indian Rupee",1,4.27
"186",2019-11-28,"ISK","Icelandic Krona",1,2.49
"187",2019-11-28,"ITL","Italian Lira",1000,NA
"188",2019-11-28,"JPY","Japanese Yen",100,279.37
"189",2019-11-28,"KPW","North Korean Won",100,NA
"190",2019-11-28,"KRW","South Korean Won",100,25.92
"191",2019-11-28,"KWD","Kuwaiti Dinar",1,NA
"192",2019-11-28,"LBP","Lebanese Pound",100,NA
"193",2019-11-28,"LTL","Lithuanian litas",1,NA
"194",2019-11-28,"LUF","Luxembourg Franc",100,NA
"195",2019-11-28,"LVL","Latvian lats",1,NA
"196",2019-11-28,"MNT","Mongolian Tugrik",100,NA
"197",2019-11-28,"MXN","Mexican Peso",1,15.61
"198",2019-11-28,"MYR","Malaysian Ringgit",1,73.25
"199",2019-11-28,"NLG","Netherlands Guilder",1,NA
"200",2019-11-28,"NOK","Norwegian Krone",1,33.31
"201",2019-11-28,"NZD","New Zealand Dollar",1,196.45
"202",2019-11-28,"OAL","Alban Lek",100,NA
"203",2019-11-28,"OBL","Bulgarian Lev",100,NA
"204",2019-11-28,"OFR","French Franc",100,NA
"205",2019-11-28,"ORB","Ruble",100,NA
"206",2019-11-28,"PHP","Philippine Peso",1,6.02
"207",2019-11-28,"PKR","Pakistan Rupee",100,NA
"208",2019-11-28,"PLN","Polish Zloty",1,77.85
"209",2019-11-28,"PTE","Portuguese Escudo",100,NA
"210",2019-11-28,"ROL","Romanian Leu",100,NA
"211",2019-11-28,"RON","Romanian New Leu",1,70.31
"212",2019-11-28,"RSD","Serbian Dinar",1,2.86
"213",2019-11-28,"RUB","Russian Rubel",1,4.77
"214",2019-11-28,"SDP","Sudanese pound",1,NA
"215",2019-11-28,"SEK","Swedish Krona",1,31.88
"216",2019-11-28,"SGD","Singapore Dollar",1,223.83
"217",2019-11-28,"SIT","Slovenian Tolar",1,NA
"218",2019-11-28,"SKK","Slovak Koruna",1,NA
"219",2019-11-28,"SUR","New Ruble",100,NA
"220",2019-11-28,"THB","Thai Baht",1,10.11
"221",2019-11-28,"TRY","Turkish Lira",1,53.05
"222",2019-11-28,"UAH","Ukrainian Hryvnia",1,12.71
"223",2019-11-28,"USD","US Dollar",1,305.71
"224",2019-11-28,"VND","Vietnamese Dong",100,NA
"225",2019-11-28,"XEU","ECU",1,NA
"226",2019-11-28,"XTR","Tr/Cl Ruble",1,NA
"227",2019-11-28,"YUD","Yugoslavian Dinar",1,NA
"228",2019-11-28,"ZAR","South African Rand",1,20.72
"229",2019-11-27,"ATS","Austrian Schilling",1,NA
"230",2019-11-27,"AUD","Australian Dollar",1,207.01
"231",2019-11-27,"AUP","Australian Pound",1,NA
"232",2019-11-27,"BEF","Belgian Franc",100,NA
"233",2019-11-27,"BGL","Bulgarian Lev",100,NA
"234",2019-11-27,"BGN","Bulgarian Lev",1,171.75
"235",2019-11-27,"BRL","Brazilian real",1,72.07
"236",2019-11-27,"CAD","Canadian Dollar",1,230
"237",2019-11-27,"CHF","Swiss Franc",1,305.77
"238",2019-11-27,"CNY","Chinese yuan renminbi",1,43.44
"239",2019-11-27,"CSD","Serbian Dinar",1,NA
"240",2019-11-27,"CSK","Czechoslovakian Koruna",100,NA
"241",2019-11-27,"CYN","Chinese yuan",100,NA
